longitude,latitude,u_10m_component_of_wind,v_10m_component_of_wind,dewpoint_2m_temperature,temperature_2m,mean_sea_level_pressure,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,surface_sensible_heat_flux,top_net_solar_radiation,top_net_thermal_radiation,total_cloud_cover,total_precipitation
42,-91,0.25560844,3.9447646,269.13998,281.8587,102839.6,2086776.8,-417154.2,99730.21,-662087,2735382.5,-701148.06,1,0
42,-91,-1.4936286,1.9594529,270.80325,281.59937,102418.17,117211.125,-168271.94,99341,74648.75,272381.5,-564746.44,1,0
42,-91,6.1567345,0.80135417,274.86285,282.09015,101463.76,1947374.2,-376390.06,98424.65,-675874.3,2658680.5,-877576.5,0.92654085,0
42,-91,3.3959014,-4.875168,272.72858,280.90085,101414.12,120310.125,-153602.66,98345.484,147544.62,305155.38,-849212.7,0.88027406,2.12E-05
42,-91,2.504881,-4.3117433,272.33313,281.85034,102017.78,2164862,-392092.4,98921.805,-905308.8,2813048.2,-908994.06,0.38974258,0
42,-91,4.9429965,-1.2482966,272.87967,282.9016,101676.56,300719.88,-361741.4,98626.15,165715.5,494569.38,-909908.5,0,0
42,-91,0.25472188,-4.6996145,270.2461,283.9794,102225.36,2372886.8,-503992.3,99144.3,-893147.75,2977400,-953920.7,0,0
42,-91,-0.017460465,-2.6334195,270.12802,282.31604,102240.38,312009.38,-368807.47,99179.08,62063.438,506480.88,-917655.06,0,0
42,-91,-1.583174,3.7572632,271.39703,283.91666,102487.67,2411957,-512979.84,99412.37,-829514.1,3009003.2,-961529.25,0.72561914,0
42,-91,-2.0176017,1.9668058,271.83496,283.93896,102218.96,221306.38,-235234.2,99165.89,91759.125,396936.12,-661397.4,1,0
42,-91,-3.8129416,1.698421,279.16797,281.3735,101725.945,698230.1,-71619.84,98684.92,-171684,1635321.9,-745712.4,0.909908,0.000222277
